pkg,conflicts
acl,xfsacl
attr,xfsattr
binutils,binutils-multilib
btrfs-progs,btrfs-progs-unstable
ca-certificates,ca-certificates-cacert
ca-certificates-utils,ca-certificates-java
cryptsetup,mkinitcpio
dbus,libdbus
dbus-broker-units,dbus-daemon-units
dbus-daemon-units,dbus-broker-units
dmraid,mkinitcpio
gcc-go,go
grub,grub-bios
grub,grub-common
grub,grub-efi-x86_64
grub,grub-emu
grub,grub-legacy
iptables-nft,iptables
iptables-nft,arptables
iptables-nft,ebtables
iputils,arping
iputils,netkit-base
kbd,vlock
libnghttp2,nghttp2
libtool,libltdl
libtool,libtool-multilib
libverto,krb5
libverto,libverto-libevent
lvm2,lvm
lvm2,mkinitcpio
man-db,man
mdadm,mkinitcpio
pkgconf,pkg-config
procps-ng,procps
procps-ng,sysvinit-tools
s-nail,mailx
s-nail,mailx-heirloom
s-nail,heirloom-mailx
systemd,nss-myhostname
systemd,systemd-tools
systemd,udev
systemd-libs,libsystemd
systemd-resolvconf,resolvconf
systemd-sysvcompat,sysvinit
systemd-ukify,mkinitcpio
util-linux,rfkill
util-linux,hardlink
util-linux-libs,libutil-linux
wireless-regdb,crda
9base,plan9port
9base,9rc-devel
abiword,abiword-plugins
acme,plan9port
acpi_call,acpi_call-dkms
acpi_call-dkms,acpi_call
acpi_call-lts,acpi_call-dkms
acpica,iasl
acpilight,xorg-xbacklight
afl++,afl
afl++,aflplusplus
aircrack-ng,aircrack-ng-scripts
analitza,analitza5
ant,apache-ant
ant-doc,apache-ant-doc
apache,mod_proxy_uwsgi
appstream-glib,appdata-tools
appstream-qt5,appstream-qt
apptainer,singularity-container
arrow,parquet-cpp
aspell-pt,aspell-pt_br
aspnet-runtime,aspnet-runtime-8.0
aspnet-targeting-pack,aspnet-targeting-pack-8.0
at-spi2-core,at-spi2-atk
at-spi2-core,atk
atril,atril-gtk3
attica5,attica
authoscope,badtouch
babel-cli,nodejs-babel-cli
babel-cli,openbabel
baidupcs-go,baidupcs
baloo,baloo5
banner,sysvbanner
bbswitch-dkms,bbswitch
bc,bc-readline
beanshell,beanshell2
bind,bind-tools
bind,dnsutils
blas-openblas,blas
blas-openblas,cblas
blas-openblas,lapack
blas-openblas,lapacke
blas-openblas,openblas-lapack
blas64-openblas,blas64
blas64-openblas,cblas64
blas64-openblas,lapack64
blas64-openblas,lapacke64
bluez-qt5,bluez-qt
bogofilter-db,bogofilter-kyotocabinet
bogofilter-db,bogofilter-lmdb
bogofilter-db,bogofilter-sqlite
bogofilter-kyotocabinet,bogofilter
bogofilter-kyotocabinet,bogofilter-db
bogofilter-kyotocabinet,bogofilter-lmdb
bogofilter-kyotocabinet,bogofilter-sqlite
bogofilter-lmdb,bogofilter
bogofilter-lmdb,bogofilter-db
bogofilter-lmdb,bogofilter-kyotocabinet
bogofilter-lmdb,bogofilter-sqlite
bogofilter-sqlite,bogofilter
bogofilter-sqlite,bogofilter-db
bogofilter-sqlite,bogofilter-kyotocabinet
bogofilter-sqlite,bogofilter-lmdb
boinc-nox,boinc
breeze5,breeze
breezy,bzr
broadcom-wl-dkms,broadcom-wl
btrfs-heatmap,python-btrfs-heatmap
bubblewrap-suid,bubblewrap
bullet-dp,bullet
caja,caja-gtk3
caja-image-converter,caja-image-converter-gtk3
caja-open-terminal,caja-open-terminal-gtk3
caja-sendto,caja-sendto-gtk3
caja-share,caja-share-gtk3
caja-wallpaper,caja-wallpaper-gtk3
calibre,calibre-common
calibre,calibre-python3
cardinal-standalone,cardinal-jack
cargo-show-asm,cargo-asm
catch2,catch2-v2
catch2-v2,catch2
ccls,ccls-git
cdemu-client,cdemu
cdrtools,cdrkit
charm,charm-tool
clang,clang-analyzer
clang,clang-tools-extra
clash-ghc,clash
cockatrice,cockatrice-client
cockatrice,cockatrice-server
codec2,freedv
coffeescript,coffee-script
coq,coq-nox
cpupower,cpufrequtils
cronie,cron
dart-sass,ruby-sass
dbeaver,dbeaver-plugin-sshj-lib
deepin-account-faces,dde-account-faces
deepin-anything-dkms,DEEPIN-ANYTHING-MODULE
deepin-control-center,dde-control-center
deepin-control-center,dde-dock-applets
deepin-daemon,dde-daemon
deepin-desktop-schemas,deepin-artwork-themes
deepin-file-manager,deepin-desktop
deepin-icon-theme,deepin-cursor-theme
deepin-launchpad,deepin-launcher
deepin-screen-recorder,deepin-screenshot
deepin-session-shell,deepin-session-ui
deepin-shell,deepin-dock
deepin-sound-theme,deepin-artwork
deepin-terminal-gtk,deepin-terminal
deepin-terminal-gtk,deepin-terminal-old
distro-info,python-distro-info
distro-info,perl-distro-info
dleyna,dleyna-connector-dbus
dleyna,dleyna-core
dleyna,dleyna-renderer
dleyna,dleyna-server
dma,smtp-forwarder
dnssec-tools,libval
dnssec-tools,libval_shim
dnssec-tools,libsres
docbook5-xml,docbook5-schemas
dos2unix,hd2u
dotnet-runtime,dotnet-runtime-8.0
dotnet-sdk,dotnet-sdk-8.0
dotnet-targeting-pack,dotnet-targeting-pack-8.0
doublecmd-gtk2,doublecmd-qt5
doublecmd-gtk2,doublecmd-qt6
doublecmd-qt5,doublecmd-gtk2
doublecmd-qt5,doublecmd-qt6
doublecmd-qt6,doublecmd-gtk2
doublecmd-qt6,doublecmd-qt5
dragonfly-reverb-standalone,dragonfly-reverb-jack
drone,drone-oss
drone-oss,drone
dropbear-scp,openssh
dtools,ddemangle
dtools,dustmite
dtools,rdmd
edk2-aarch64,edk2-armvirt
edk2-ovmf,ovmf
emacs-nativecomp,emacs
emacs-nox,emacs
emacs-wayland,emacs
emscripten,binaryen
endeavour,gnome-todo
engrampa,engrampa-gtk3
enter-tex,gnome-latex
eom,eom-gtk3
erlang,erlang-nox
erlang-nox,erlang
esbonio,python-esbonio
eslint-language-server,vscode-eslint-language-server
espeak-ng,espeak-ng-espeak
espeak-ng,espeak
espflash,cargo-espflash
ettercap-gtk,ettercap
exfat-utils,fuse-exfat
exfatprogs,exfat-utils
exim,smtp-server
exim,smtp-forwarder
eza,exa
facter,libwhereami
facter,cpp-hocon
facter,leatherman
farstream,farsight2
fcitx,fcitx-gtk2
fcitx,fcitx-gtk3
fcitx-mozc,mozc
fcitx-mozc,mozc-server
fcitx-mozc,mozc-utils-gui
fcitx-mozc,mozc-fcitx
fcitx-mozc,fcitx5-mozc
fcitx5,fcitx
fcitx5-chinese-addons,fcitx
fcitx5-configtool,kcm-fcitx5
fcitx5-mozc,mozc
fcitx5-mozc,mozc-server
fcitx5-mozc,mozc-utils-gui
fcitx5-mozc,mozc-fcitx
fcitx5-mozc,fcitx-mozc
fcitx5-nord,fcitx5-nord-dark
fcron,dcron
feeluown,feeluown-local
fig2dev,transfig
firrtl,firrtl
fontconfig,fontconfig-docs
foomatic-db,foomatic-db-foo2zjs
frameworkintegration5,frameworkintegration
freeglut,glut
fuse2,fuse
futuresql,futuresql-qt6
fwbuilder,libfwbuilder
gambas3-dev-tools,gambas3-devel
gambas3-ide,gambas3-examples
gap,gap-doc
gcolor3,gcolor3-xorg
gearmand,gearman
gedit,gedit-code-assistance
geoclue,geoclue2
ghc-libs,haskell-ghci
gimp-nufraw,gimp-ufraw
ginkgo-hpc-cuda,ginkgo-hpc
ginkgo-hpc-hip,ginkgo-hpc
girara,girara-gtk3
girara,girara-common
gitlab,gitlab-workhorse
gmic,cimg
gnome-builder,gnome-builder-clang
gnome-builder,gnome-builder-flatpak
gnome-notes,bijiben
gnome-themes-extra,gnome-themes-standard
gnu-efi,gnu-efi-libs
go-ethereum,geth
go-yq,yq
gptfdisk,gdisk
gradle7,gradle
gradle7-doc,gradle-doc
gradle7-src,gradle-src
gtest,gmock
gtk-engines,lighthouse-gtk2
gtk-engines,clearlooks-gtk2
gtk2-compat,gtk2
gtk3,gtk3-print-backends
guitarix,guitarix2
gvim,vim-minimal
gvim,vim
handlr-regex,handlr
haskell-cairo,gtk2hs-cairo
haskell-glib,gtk2hs-glib
haskell-gtk2hs-buildtools,gtk2hs-buildtools
haskell-gtk3,gtk2hs-gtk
haskell-gtk3,haskell-gtk
haskell-pango,gtk2hs-pango
haskell-tidal,tidalcycles
hdf5-openmpi,hdf5
hdf5-openmpi,hdf5-openmpi-java
hlint,haskell-hlint
hsa-amd-aqlprofile-bin,hsa-amd-aqlprofile
httpie,python-httpie
hunspell-en_au,hunspell-en_AU
hunspell-en_ca,hunspell-en_CA
hunspell-en_gb,hunspell-en_GB
hunspell-en_us,hunspell-en_US
hunspell-es_any,hunspell-es
hunspell-es_ar,hunspell-es
hunspell-es_bo,hunspell-es
hunspell-es_cl,hunspell-es
hunspell-es_co,hunspell-es
hunspell-es_cr,hunspell-es
hunspell-es_cu,hunspell-es
hunspell-es_do,hunspell-es
hunspell-es_ec,hunspell-es
hunspell-es_es,hunspell-es
hunspell-es_gt,hunspell-es
hunspell-es_hn,hunspell-es
hunspell-es_mx,hunspell-es
hunspell-es_ni,hunspell-es
hunspell-es_pa,hunspell-es
hunspell-es_pe,hunspell-es
hunspell-es_pr,hunspell-es
hunspell-es_py,hunspell-es
hunspell-es_sv,hunspell-es
hunspell-es_uy,hunspell-es
hunspell-es_ve,hunspell-es
imv,renameutils
incus-tools,lxd
intel-gmmlib,gmmlib
intel-graphics-compiler,intel-opencl-clang
intel-oneapi-common,intel-oneapi-basekit
intel-oneapi-compiler-dpcpp-cpp-runtime,intel-oneapi-basekit
intel-oneapi-compiler-dpcpp-cpp-runtime-libs,intel-oneapi-basekit
intel-oneapi-compiler-shared,intel-oneapi-basekit
intel-oneapi-compiler-shared-runtime,intel-oneapi-basekit
intel-oneapi-compiler-shared-runtime-libs,intel-oneapi-basekit
intel-oneapi-dev-utilities,intel-oneapi-basekit
intel-oneapi-dpcpp-cpp,intel-oneapi-basekit
intel-oneapi-dpcpp-debugger,intel-oneapi-basekit
intel-oneapi-mkl,intel-mkl
intel-oneapi-mkl,intel-mkl-static
intel-oneapi-mkl,intel-oneapi-basekit
intel-oneapi-mkl-sycl,intel-oneapi-basekit
intel-oneapi-openmp,intel-oneapi-basekit
intel-oneapi-tbb,intel-oneapi-basekit
intel-oneapi-tcm,intel-oneapi-basekit
iotop-c,iotop
jack2,jack
jami-qt,jami-gnome
jami-qt,jami-libclient
jdk-openjdk,jre-openjdk
jdk-openjdk,jre-openjdk-headless
jdk11-openjdk,jre11-openjdk
jdk11-openjdk,jre11-openjdk-headless
jdk17-openjdk,jre17-openjdk
jdk17-openjdk,jre17-openjdk-headless
jdk21-openjdk,jre21-openjdk
jdk21-openjdk,jre21-openjdk-headless
jenkins,jenkins-ci
joyutils,linuxconsole
jre-openjdk,jdk-openjdk
jre-openjdk,jre-openjdk-headless
jre-openjdk-headless,jdk-openjdk
jre-openjdk-headless,jre-openjdk
jre11-openjdk,jdk11-openjdk
jre11-openjdk,jre11-openjdk-headless
jre11-openjdk-headless,jdk11-openjdk
jre11-openjdk-headless,jre11-openjdk
jre17-openjdk,jdk17-openjdk
jre17-openjdk,jre17-openjdk-headless
jre17-openjdk-headless,jdk17-openjdk
jre17-openjdk-headless,jre17-openjdk
jre21-openjdk,jdk21-openjdk
jre21-openjdk,jre21-openjdk-headless
jre21-openjdk-headless,jdk21-openjdk
jre21-openjdk-headless,jre21-openjdk
jupyter-collaboration,jupyter-server-ydoc
jupyter-console,jupyter_console
jupyterlab-pygments,jupyterlab_pygments
kactivities-stats5,kactivities-stats
kactivities5,kactivities
kakoune-lsp,kak-lsp
karchive5,karchive
kate,kwrite
kauth5,kauth
kbookmarks5,kbookmarks
kcalendarcore5,kcalendarcore
kcmutils5,kcmutils
kcodecs5,kcodecs
kcolorpicker,kcolorpicker-qt6
kcompletion5,kcompletion
kconfig5,kconfig
kconfigwidgets5,kconfigwidgets
kcontacts5,kcontacts
kcoreaddons5,kcoreaddons
kcrash5,kcrash
kdbusaddons5,kdbusaddons
kdeclarative5,kdeclarative
kded5,kded
kdesdk-kio,kdesdk-kioslaves
kdesu5,kdesu
kdiagram5,kdiagram
kdnssd5,kdnssd
kdoctools5,kdoctools
kdsoap-qt5,kdsoap
kernel-hardening-checker,kconfig-hardened-check
kgamma,kgamma5
kglobalaccel5,kglobalaccel
kguiaddons5,kguiaddons
kholidays5,kholidays
ki18n5,ki18n
kiconthemes5,kiconthemes
kidentitymanagement5,kidentitymanagement
kidletime5,kidletime
kimageannotator,kimageannotator-qt6
kimageformats5,kimageformats
kio-zeroconf,zeroconf-ioslave
kio5,kio
kirigami-addons5,kirigami-addons
kitemmodels5,kitemmodels
kitemviews5,kitemviews
kjobwidgets5,kjobwidgets
knewstuff5,knewstuff
knotifications5,knotifications
knotifyconfig5,knotifyconfig
kodi,kodi-gles
kodi-gles,kodi
konsolepart5,konsole
kpackage5,kpackage
kparts5,kparts
kpimtextedit5,kpimtextedit
kplotting5,kplotting
kpty5,kpty
kquickimageeditor5,kquickimageeditor
ksanecore5,ksanecore
kservice5,kservice
ktextaddons5,ktextaddons
ktexteditor5,ktexteditor
ktextwidgets5,ktextwidgets
kubo,go-ipfs
kunitconversion5,kunitconversion
kuserfeedback,kuserfeedback5
kwallet5,kwallet
kwayland5,kwayland
kwidgetsaddons5,kwidgetsaddons
kwindowsystem5,kwindowsystem
kxmlgui5,kxmlgui
lazarus-gtk2,lazarus-gtk3
lazarus-gtk2,lazarus-qt5
lazarus-gtk2,lazarus-qt6
lazarus-gtk3,lazarus-gtk2
lazarus-gtk3,lazarus-qt5
lazarus-gtk3,lazarus-qt6
lazarus-qt5,lazarus-gtk2
lazarus-qt5,lazarus-gtk3
lazarus-qt5,lazarus-qt6
lazarus-qt6,lazarus-gtk2
lazarus-qt6,lazarus-gtk3
lazarus-qt6,lazarus-qt5
lhasa,lha
lib32-rust-libs,lib32-rust
libakonadi5,libakonadi
libblockdev,libblockdev-utils
libblockdev-fs,libblockdev-tools
libblockdev-lvm,libblockdev-lvm-dbus
libblockdev-lvm,libblockdev-tools
libcamera-tools,libcamera-tests
libfilteraudio,filter_audio
libfm-gtk2,lxshortcut
libfm-gtk3,libfm-gtk2
libfm-gtk3,lxshortcut
libgedit-amtk,amtk
libgedit-tepl,tepl
libjpeg6-turbo,libjpeg6
libkcddb,libkcddb5
libkexiv2-qt5,libkexiv2
libkiwix,kiwix-lib
libksane5,libksane
libkscreen5,libkscreen
libldm,ldmtool
libmatekbd,libmatekbd-gtk3
libmateweather,libmateweather-gtk3
libmemcached-awesome,libmemcached
libpaper,paper
libphobos,libphobos-devel
libplasma,plasma-framework
libproxy,libproxy-webkit
libqaccessibilityclient-qt5,libqaccessibilityclient
libqt5xdg,libqtxdg
libquvi,quvi
libratbag,ratbagd
libratbag,liblur
libre,re
libre,librem
librecad,librecad-git
libreoffice-fresh,libreoffice-still
libreoffice-fresh-af,libreoffice-af
libreoffice-fresh-am,libreoffice-am
libreoffice-fresh-ar,libreoffice-ar
libreoffice-fresh-as,libreoffice-as
libreoffice-fresh-ast,libreoffice-ast
libreoffice-fresh-be,libreoffice-be
libreoffice-fresh-bg,libreoffice-bg
libreoffice-fresh-bn,libreoffice-bn
libreoffice-fresh-bn-in,libreoffice-bn-IN
libreoffice-fresh-bo,libreoffice-bo
libreoffice-fresh-br,libreoffice-br
libreoffice-fresh-brx,libreoffice-brx
libreoffice-fresh-bs,libreoffice-bs
libreoffice-fresh-ca,libreoffice-ca
libreoffice-fresh-ca-valencia,libreoffice-ca-valencia
libreoffice-fresh-ckb,libreoffice-ckb
libreoffice-fresh-cs,libreoffice-cs
libreoffice-fresh-cy,libreoffice-cy
libreoffice-fresh-da,libreoffice-da
libreoffice-fresh-de,libreoffice-de
libreoffice-fresh-dgo,libreoffice-dgo
libreoffice-fresh-dsb,libreoffice-dsb
libreoffice-fresh-dz,libreoffice-dz
libreoffice-fresh-el,libreoffice-el
libreoffice-fresh-en-gb,libreoffice-en-GB
libreoffice-fresh-en-za,libreoffice-en-ZA
libreoffice-fresh-eo,libreoffice-eo
libreoffice-fresh-es,libreoffice-es
libreoffice-fresh-et,libreoffice-et
libreoffice-fresh-eu,libreoffice-eu
libreoffice-fresh-fa,libreoffice-fa
libreoffice-fresh-fi,libreoffice-fi
libreoffice-fresh-fr,libreoffice-fr
libreoffice-fresh-fur,libreoffice-fur
libreoffice-fresh-fy,libreoffice-fy
libreoffice-fresh-ga,libreoffice-ga
libreoffice-fresh-gd,libreoffice-gd
libreoffice-fresh-gl,libreoffice-gl
libreoffice-fresh-gu,libreoffice-gu
libreoffice-fresh-gug,libreoffice-gug
libreoffice-fresh-he,libreoffice-he
libreoffice-fresh-hi,libreoffice-hi
libreoffice-fresh-hr,libreoffice-hr
libreoffice-fresh-hsb,libreoffice-hsb
libreoffice-fresh-hu,libreoffice-hu
libreoffice-fresh-id,libreoffice-id
libreoffice-fresh-is,libreoffice-is
libreoffice-fresh-it,libreoffice-it
libreoffice-fresh-ja,libreoffice-ja
libreoffice-fresh-ka,libreoffice-ka
libreoffice-fresh-kab,libreoffice-kab
libreoffice-fresh-kk,libreoffice-kk
libreoffice-fresh-km,libreoffice-km
libreoffice-fresh-kmr-latn,libreoffice-kmr-Latn
libreoffice-fresh-kn,libreoffice-kn
libreoffice-fresh-ko,libreoffice-ko
libreoffice-fresh-kok,libreoffice-kok
libreoffice-fresh-ks,libreoffice-ks
libreoffice-fresh-lb,libreoffice-lb
libreoffice-fresh-lo,libreoffice-lo
libreoffice-fresh-lt,libreoffice-lt
libreoffice-fresh-lv,libreoffice-lv
libreoffice-fresh-mai,libreoffice-mai
libreoffice-fresh-mk,libreoffice-mk
libreoffice-fresh-ml,libreoffice-ml
libreoffice-fresh-mn,libreoffice-mn
libreoffice-fresh-mni,libreoffice-mni
libreoffice-fresh-mr,libreoffice-mr
libreoffice-fresh-my,libreoffice-my
libreoffice-fresh-nb,libreoffice-nb
libreoffice-fresh-ne,libreoffice-ne
libreoffice-fresh-nl,libreoffice-nl
libreoffice-fresh-nn,libreoffice-nn
libreoffice-fresh-nr,libreoffice-nr
libreoffice-fresh-nso,libreoffice-nso
libreoffice-fresh-oc,libreoffice-oc
libreoffice-fresh-om,libreoffice-om
libreoffice-fresh-or,libreoffice-or
libreoffice-fresh-pa-in,libreoffice-pa-IN
libreoffice-fresh-pl,libreoffice-pl
libreoffice-fresh-pt,libreoffice-pt
libreoffice-fresh-pt-br,libreoffice-pt-BR
libreoffice-fresh-ro,libreoffice-ro
libreoffice-fresh-ru,libreoffice-ru
libreoffice-fresh-rw,libreoffice-rw
libreoffice-fresh-sa-in,libreoffice-sa-IN
libreoffice-fresh-sat,libreoffice-sat
libreoffice-fresh-sd,libreoffice-sd
libreoffice-fresh-sdk,libreoffice-still-sdk
libreoffice-fresh-si,libreoffice-si
libreoffice-fresh-sid,libreoffice-sid
libreoffice-fresh-sk,libreoffice-sk
libreoffice-fresh-sl,libreoffice-sl
libreoffice-fresh-sq,libreoffice-sq
libreoffice-fresh-sr,libreoffice-sr
libreoffice-fresh-sr-latn,libreoffice-sr-Latn
libreoffice-fresh-ss,libreoffice-ss
libreoffice-fresh-st,libreoffice-st
libreoffice-fresh-sv,libreoffice-sv
libreoffice-fresh-sw-tz,libreoffice-sw-TZ
libreoffice-fresh-szl,libreoffice-szl
libreoffice-fresh-ta,libreoffice-ta
libreoffice-fresh-te,libreoffice-te
libreoffice-fresh-tg,libreoffice-tg
libreoffice-fresh-th,libreoffice-th
libreoffice-fresh-tn,libreoffice-tn
libreoffice-fresh-tr,libreoffice-tr
libreoffice-fresh-ts,libreoffice-ts
libreoffice-fresh-tt,libreoffice-tt
libreoffice-fresh-ug,libreoffice-ug
libreoffice-fresh-uk,libreoffice-uk
libreoffice-fresh-uz,libreoffice-uz
libreoffice-fresh-ve,libreoffice-ve
libreoffice-fresh-vec,libreoffice-vec
libreoffice-fresh-vi,libreoffice-vi
libreoffice-fresh-xh,libreoffice-xh
libreoffice-fresh-zh-cn,libreoffice-zh-CN
libreoffice-fresh-zh-tw,libreoffice-zh-TW
libreoffice-fresh-zu,libreoffice-zu
libreoffice-still,libreoffice-fresh
libreoffice-still-af,libreoffice-af
libreoffice-still-am,libreoffice-am
libreoffice-still-ar,libreoffice-ar
libreoffice-still-as,libreoffice-as
libreoffice-still-ast,libreoffice-ast
libreoffice-still-be,libreoffice-be
libreoffice-still-bg,libreoffice-bg
libreoffice-still-bn,libreoffice-bn
libreoffice-still-bn-in,libreoffice-bn-IN
libreoffice-still-bo,libreoffice-bo
libreoffice-still-br,libreoffice-br
libreoffice-still-brx,libreoffice-brx
libreoffice-still-bs,libreoffice-bs
libreoffice-still-ca,libreoffice-ca
libreoffice-still-ca-valencia,libreoffice-ca-valencia
libreoffice-still-ckb,libreoffice-ckb
libreoffice-still-cs,libreoffice-cs
libreoffice-still-cy,libreoffice-cy
libreoffice-still-da,libreoffice-da
libreoffice-still-de,libreoffice-de
libreoffice-still-dgo,libreoffice-dgo
libreoffice-still-dsb,libreoffice-dsb
libreoffice-still-dz,libreoffice-dz
libreoffice-still-el,libreoffice-el
libreoffice-still-en-gb,libreoffice-en-GB
libreoffice-still-en-za,libreoffice-en-ZA
libreoffice-still-eo,libreoffice-eo
libreoffice-still-es,libreoffice-es
libreoffice-still-et,libreoffice-et
libreoffice-still-eu,libreoffice-eu
libreoffice-still-fa,libreoffice-fa
libreoffice-still-fi,libreoffice-fi
libreoffice-still-fr,libreoffice-fr
libreoffice-still-fur,libreoffice-fur
libreoffice-still-fy,libreoffice-fy
libreoffice-still-ga,libreoffice-ga
libreoffice-still-gd,libreoffice-gd
libreoffice-still-gl,libreoffice-gl
libreoffice-still-gu,libreoffice-gu
libreoffice-still-gug,libreoffice-gug
libreoffice-still-he,libreoffice-he
libreoffice-still-hi,libreoffice-hi
libreoffice-still-hr,libreoffice-hr
libreoffice-still-hsb,libreoffice-hsb
libreoffice-still-hu,libreoffice-hu
libreoffice-still-id,libreoffice-id
libreoffice-still-is,libreoffice-is
libreoffice-still-it,libreoffice-it
libreoffice-still-ja,libreoffice-ja
libreoffice-still-ka,libreoffice-ka
libreoffice-still-kab,libreoffice-kab
libreoffice-still-kk,libreoffice-kk
libreoffice-still-km,libreoffice-km
libreoffice-still-kmr-latn,libreoffice-kmr-Latn
libreoffice-still-kn,libreoffice-kn
libreoffice-still-ko,libreoffice-ko
libreoffice-still-kok,libreoffice-kok
libreoffice-still-ks,libreoffice-ks
libreoffice-still-lb,libreoffice-lb
libreoffice-still-lo,libreoffice-lo
libreoffice-still-lt,libreoffice-lt
libreoffice-still-lv,libreoffice-lv
libreoffice-still-mai,libreoffice-mai
libreoffice-still-mk,libreoffice-mk
libreoffice-still-ml,libreoffice-ml
libreoffice-still-mn,libreoffice-mn
libreoffice-still-mni,libreoffice-mni
libreoffice-still-mr,libreoffice-mr
libreoffice-still-my,libreoffice-my
libreoffice-still-nb,libreoffice-nb
libreoffice-still-ne,libreoffice-ne
libreoffice-still-nl,libreoffice-nl
libreoffice-still-nn,libreoffice-nn
libreoffice-still-nr,libreoffice-nr
libreoffice-still-nso,libreoffice-nso
libreoffice-still-oc,libreoffice-oc
libreoffice-still-om,libreoffice-om
libreoffice-still-or,libreoffice-or
libreoffice-still-pa-in,libreoffice-pa-IN
libreoffice-still-pl,libreoffice-pl
libreoffice-still-pt,libreoffice-pt
libreoffice-still-pt-br,libreoffice-pt-BR
libreoffice-still-ro,libreoffice-ro
libreoffice-still-ru,libreoffice-ru
libreoffice-still-rw,libreoffice-rw
libreoffice-still-sa-in,libreoffice-sa-IN
libreoffice-still-sat,libreoffice-sat
libreoffice-still-sd,libreoffice-sd
libreoffice-still-sdk,libreoffice-fresh-sdk
libreoffice-still-si,libreoffice-si
