package,conflicts
"php-legacy","php-legacy-intl"
"php","php-intl"
"pifpaf","python-pifpaf"
"pigeonhole","dovecot-sieve"
"pigeonhole","pigeonhole-hg"
"pipewire-jack-client","pipewire-jack"
"pipewire-jack","jack"
"pipewire-jack","jack2"
"pipewire-jack","pipewire-jack-client"
"pipewire-media-session","wireplumber"
"pipewire-pulse","pulseaudio"
"pkgconf","pkg-config"
"plasma-activities-stats","kactivities-stats"
"plasma-activities","kactivities"
"plasma-applet-window-buttons","plasma5-applets-window-buttons"
"plasma-framework5","plasma-framework<5.111"
"plasma-workspace","plasma-wayland-session"
"plasma5-integration","plasma-integration<5.27.80"
"plocate","mlocate"
"pluma","pluma-gtk3"
"pnetcdf-openmpi","parallel-netcdf"
"pnetcdf-openmpi","parallel-netcdf-openmpi"
"podman-docker","docker"
"poppler-data","poppler<0.10.5"
"poppler","poppler-qt3<24.11.0"
"poppler","poppler-qt4<24.11.0"
"postfix","smtp-forwarder"
"postfix","smtp-server"
"postgresql-libs","postgresql-client"
"powerdns-recursor","pdns-recursor"
"powerdns","pdns"
"prison5","prison<5.111"
"prjtrellis","libtrellis"
"procinfo-ng","procinfo"
"procps-ng","procps"
"procps-ng","sysvinit-tools"
"profanity-gtk","profanity"
"proxychains-ng","proxychains"
"psi-nowebengine","psi"
"pulseaudio","pipewire-pulse"
"puppet","hiera"
"puppet","puppet5"
"puppet","puppet6"
"purpose","purpose5<5.114.0-2"
"purpose5","purpose<5.111"
"python-absl","absl-py"
"python-adb-shell","python-adb_shell"
"python-argon2-cffi","python-argon2_cffi"
"python-astroid","python-logilab-astng"
"python-cogapp","cocogitto"
"python-configshell-fb","python-configshell"
"python-cpplint","cpplint"
"python-dbus-docs","dbus-python-docs"
"python-dbus","dbus-python"
"python-dbus","python-dbus-common"
"python-django-q2","python-django-q"
"python-docker","python-docker-py"
"python-faust-cchardet","python-cchardet"
"python-flask-security-too","python-flask-security"
"python-ghp-import","ghp-import"
"python-gobject","pygobject-devel"
"python-h5py-openmpi","python-h5py"
"python-h5py","hdf5-openmpi"
"python-hid","python-hidapi"
"python-i3ipc","i3ipc-python"
"python-imaplib2","python-imaplib2-git"
"python-ipip-ipdb","python-ipdb"
"python-jaraco.classes","python-jaraco"
"python-jaraco.collections","python-jaraco"
"python-jaraco.functools","python-jaraco"
"python-jaraco.itertools","python-jaraco"
"python-jaraco.logging","python-jaraco"
"python-jaraco.stream","python-jaraco"
"python-jaraco.text","python-jaraco"
"python-jupyter-client","python-jupyter_client"
"python-jupyter-core","python-jupyter_core"
"python-jupyter-packaging","python-jupyter_packaging"
"python-jupyterlab-server","jupyterlab_server"
"python-jupyterlab-server","python-jupyterlab_server"
"python-keras","python-keras-preprocessing"
"python-netcdf4-openmpi","python-netcdf4"
"python-olefile","python3-olefileio"
"python-onnxruntime-opt-rocm","python-onnxruntime"
"python-onnxruntime-opt","python-onnxruntime"
"python-onnxruntime-rocm","python-onnxruntime"
"python-path","python-path.py"
"python-pillow-heif","python-pillow_heif"
"python-prettytable","python-ptable"
"python-pycryptodome","python-crypto"
"python-pycuda","pycuda-headers"
"python-pygments","pygmentize"
"python-pylint-plugin-utils","python-pylint-plugin-utils"
"python-pylint-plugin-utils","python-pylint-plugin-utils-git"
"python-pylint-pydantic","python-pylint-pydantic"
"python-pylint-pydantic","python-pylint-pydantic-git"
"python-pymacaroons","python-pymacaroons-pynacl"
"python-pyqt5-webengine","pyqtwebengine-common"
"python-pyqt5-webengine","python-pyqtwebwengine"
"python-pyqt5","pyqt5-common"
"python-pytorch-cuda","python-pytorch"
"python-pytorch-opt-cuda","python-pytorch"
"python-pytorch-opt-rocm","python-pytorch"
"python-pytorch-opt","python-pytorch"
"python-pytorch-rocm","python-pytorch"
"python-pywlroots","pywlroots"
"python-pyxdg","python-xdg"
"python-softlayer-zeep","python-zeep"
"python-sqlalchemy1.4","python-sqlalchemy"
"python-srt","python-pysrt"
"python-tensorflow-cuda","python-tensorflow"
"python-tensorflow-opt-cuda","python-tensorflow"
"python-tensorflow-opt","python-tensorflow"
"python-tensorflow-serving-api-gpu","python-tensorflow-serving-api"
"python-torchvision-cuda","python-torchvision"
"python-update-checker","python-update_checker"
"python-virtualenv","virtualenv"
"python-z3-solver","python-z3"
"python-zipstream-ng","python-zipstream"
"qca-qt5","qca"
"qcoro","qcoro-qt6"
"qemu-common","qemu-system-nios2"
"qemu-user-binfmt","qemu-user-binfmt-provider"
"qemu-user-static-binfmt","qemu-user-binfmt-provider"
"qqc2-desktop-style5","qqc2-desktop-style<5.111"
"qt5-base","qtchooser"
"qt5-declarative","qtchooser"
"qt5-tools","qtchooser"
"qt5-xmlpatterns","qtchooser"
"qtkeychain-qt5","qtkeychain"
"qtqr","python-qrtools"
"qtxdg-tools","libqtxdg<3.9.1"
"quassel-client-qt","quassel-client"
"quassel-client","quassel-client-qt"
"quassel-monolithic-qt","quassel-monolithic"
"quassel-monolithic","quassel-monolithic-qt"
"racket-minimal","racket"
"racket","racket-docs"
"rage-encryption","rage"
"rdma-core","ibacm"
"rdma-core","infiniband-diags"
"rdma-core","libcxgb3"
"rdma-core","libcxgb4"
"rdma-core","libibcm"
"rdma-core","libibmad"
"rdma-core","libibumad"
"rdma-core","libibverbs"
"rdma-core","libiwpm"
"rdma-core","libmlx4"
"rdma-core","libmlx5"
"rdma-core","libmthca"
"rdma-core","libnes"
"rdma-core","libocrdma"
"rdma-core","librdmacm"
"rdma-core","rdma"
"rdma-core","srptools"
"redo-python","redo-c"
"redo-python","redo-jdebp"
"redo-python","redo-sh"
"redo-sh","redo-c"
"redo-sh","redo-jdebp"
"redo-sh","redo-python"
"referenceassemblies-pcl","mono-pcl"
"rofi-wayland","rofi"
"root-cuda","root"
"ropper","python-ropper"
"rpm-tools","rpm"
"rpm-tools","rpmextract"
"rssguard-lite","rssguard"
"ruby-bundled-gems","ruby-bundledgems"
"ruby-pkg-config","ruby-pkgconfig"
"ruby-ronn-ng","ruby-ronn"
"ruby","ruby-abbrev"
"ruby","ruby-base64"
"ruby","ruby-benchmark"
"ruby","ruby-bigdecimal"
"ruby","ruby-cgi"
"ruby","ruby-csv"
"ruby","ruby-date"
"ruby","ruby-delegate"
"ruby","ruby-did_you_mean"
"ruby","ruby-digest"
"ruby","ruby-drb"
"ruby","ruby-english"
"ruby","ruby-etc"
"ruby","ruby-fcntl"
"ruby","ruby-fiddle"
"ruby","ruby-fileutils"
"ruby","ruby-find"
"ruby","ruby-forwardable"
"ruby","ruby-getoptlong"
"ruby","ruby-io-console"
"ruby","ruby-io-nonblock"
"ruby","ruby-io-wait"
"ruby","ruby-ipaddr"
"ruby","ruby-json"
"ruby","ruby-logger"
"ruby","ruby-mutex_m"
"ruby","ruby-net-http"
"ruby","ruby-open-uri"
"ruby","ruby-psych"
"ruby","ruby-reline"
"ruby","ruby-ruby2_keywords"
"ruby","ruby-set"
"ruby","ruby-stringio"
"ruby","ruby-time"
"ruby","ruby-tmpdir"
"ruby","ruby-uri"
"rust","cargo"
"rust","rust-docs<1:1.56.1-3"
"rust","rustfmt"
"rustup","cargo"
"rustup","rust"
"rustup","rustfmt"
"s-nail","heirloom-mailx"
"s-nail","mailx"
"s-nail","mailx-heirloom"
"s2n-tls","s2n"
"s3fs-fuse","s3fs"
"salt","salt-raet"
"salt","salt-zmq"
"scantailor-advanced","scantailor"
"schroot","dchroot"
"sdl12-compat","sdl"
"secrets","gnome-passwordsafe"
"selene","selene-linter"
"solid5","solid<5.111"
"sonnet5","sonnet<5.111"
"spike","fesvr"
"srslte-avx2","srslte"
"srslte","srsenb"
"srslte","srsepc"
"srslte","srsue"
"stack","haskell-stack"
"supermin","febootstrap<=3.21"
"svgo","nodejs-svgo"
"syndication5","syndication<5.111"
"syntax-highlighting5","syntax-highlighting<5.111"
"syslog-ng","eventlog"
"system76-firmware","system76-firmware-daemon"
"systemd-libs","libsystemd"
"systemd-resolvconf","resolvconf"
"systemd-sysvcompat","sysvinit"
"systemd-ukify","mkinitcpio<38-1"
"systemd","nss-myhostname"
"systemd","systemd-tools"
"systemd","udev"
"systray-x-common","systray-x"
"systray-x-kde","systray-x"
"tealdeer","tldr"
"teensy_loader_cli","teensy-loader-cli"
"tensorflow-cuda","tensorflow"
"tensorflow-opt-cuda","tensorflow"
"tensorflow-opt","tensorflow"
"terminus-font","terminus-font-otb"
"texlive-basic","texlive-core"
"texlive-binextra","git-latexdiff"
"texlive-langother","texlive-langextra"
"texlive-mathscience","texlive-science"
"threadweaver5","threadweaver<5.111"
"threejs-sage","three.js"
"tidy","tidyhtml"
"tigervnc","tightvnc"
"tinysparql","tracker3<=3.7.3-2"
"tinyssh","tinyssh-convert"
"tinyxxd","xxd"
"tlp","laptop-mode-tools"
"tlp","pm-utils"
"tlp","power-profiles-daemon"
"torchvision-cuda","torchvision"
"totem-pl-parser","totem-plparser"
"totem","totem-plugin"
"toxcore","tox"
"trayer","trayer-srg"
"treedec","tdlib"
"trivy","trivy"
"ttf-agave-nerd","nerd-fonts-agave"
"ttf-anonymouspro-nerd","nerd-fonts-anonymous-pro"
"ttf-arimo-nerd","nerd-fonts-arimo"
"ttf-bitstream-vera-mono-nerd","nerd-fonts-bitstream-vera-mono"
"ttf-cascadia-code-nerd","nerd-fonts-cascadia-code"
"ttf-dejavu-nerd","nerd-fonts-dejavu-complete"
"ttf-fantasque-nerd","nerd-fonts-fantasque-sans-mono"
"ttf-firacode-nerd","nerd-fonts-fira-code"
"ttf-go-nerd","nerd-fonts-go-mono"
"ttf-hack-nerd","nerd-fonts-hack"
"ttf-ibm-plex","ibm-plex-fonts"
"ttf-ibmplex-mono-nerd","nerd-fonts-ibm-plex-mono"
"ttf-inconsolata-go-nerd","nerd-fonts-inconsolata-go"
"ttf-inconsolata-lgc-nerd","nerd-fonts-inconsolatalgc"
"ttf-inconsolata-nerd","nerd-fonts-inconsolata"
"ttf-iosevka-nerd","nerd-fonts-iosevka"
"ttf-jetbrains-mono-nerd","nerd-fonts-jetbrains-mono"
"ttf-joypixels","ttf-emojione"
"ttf-liberation-mono-nerd","nerd-fonts-liberation-mono"
"ttf-meslo-nerd","nerd-fonts-meslo"
"ttf-monofur-nerd","nerd-fonts-monofur"
"ttf-monoid-nerd","nerd-fonts-monoid"
"ttf-mononoki-nerd","nerd-fonts-mononoki"
"ttf-montserrat","montserrat-ttf"
"ttf-mplus-nerd","nerd-fonts-mplus"
"ttf-nerd-fonts-symbols-mono","ttf-nerd-fonts-symbols-1000-em-mono"
"ttf-nerd-fonts-symbols-mono","ttf-nerd-fonts-symbols-2048-em-mono"
"ttf-nerd-fonts-symbols","ttf-nerd-fonts-symbols-1000-em"
"ttf-nerd-fonts-symbols","ttf-nerd-fonts-symbols-2048-em"
"ttf-noto-nerd","nerd-fonts-noto"
"ttf-profont-nerd","nerd-fonts-profont"
"ttf-roboto-mono-nerd","nerd-fonts-roboto-mono"
"ttf-sourcecodepro-nerd","nerd-fonts-source-code-pro"
"ttf-space-mono-nerd","nerd-fonts-source-space-mono"
"ttf-terminus-nerd","nerd-fonts-terminus"
"ttf-tinos-nerd","nerd-fonts-source-tinos"
"ttf-ubuntu-mono-nerd","nerd-fonts-ubuntu-mono"
"ttf-ubuntu-mono-nerd","ttf-ubuntumono-nerd"
"ttf-ubuntu-nerd","nerd-fonts-ubuntu"
"ttf-victor-mono-nerd","ttf-nerd-fonts-victor-mono"
"tuned-ppd","power-profiles-daemon"
"twine","python-twine"
"udp2raw","udp2raw-tunnel"
"ueberzugpp","ueberzug"
"ukui-wallpapers","ubuntukylin-wallpapers"
"unrealircd","ircd"
"util-linux-libs","libutil-linux"
"util-linux","hardlink"
"util-linux","rfkill"
"v4l-utils","libv4l"
"vagrant","vagrant-substrate"
"vala","valadoc"
"valkey","redis"
"vbam-sdl","vbam-wx"
"vbam-wx","vbam-sdl"
"vhba-module-dkms","vhba-module"
"vim","gvim"
"vim","vim-minimal"
"virtualbox-guest-iso","virtualbox-additions"
"virtualbox-guest-iso","virtualbox-iso-additions"
"virtualbox-guest-utils-nox","virtualbox-guest-dkms"
"virtualbox-guest-utils-nox","virtualbox-guest-utils"
"virtualbox-guest-utils","virtualbox-archlinux-additions"
"virtualbox-guest-utils","virtualbox-guest-additions"
"virtualbox-guest-utils","virtualbox-guest-dkms"
"virtualbox-guest-utils","virtualbox-guest-utils-nox"
"virtualbox-host-dkms","virtualbox-host-source"
"virtualbox-host-dkms","virtualbox-source"
"virtualbox-host-modules-arch","virtualbox-host-dkms"
"virtualbox-host-modules-arch","virtualbox-host-modules"
"virtualbox-host-modules-arch","virtualbox-modules"
"virtualbox","virtualbox-ose"
"vlc","vlc-plugin"
"vpl-gpu-rt","onevpl-intel-gpu"
"vulkan-extra-tools","vulkan-trace<1.2.148.1"
"vulkan-mesa-layers","vulkan-mesa-layer"
"vulkan-swrast","vulkan-mesa"
"vulscan","nmap-vulscan"
"wacomtablet","kcm-wacomtablet"
"waifu2x-ncnn-vulkan","waifu2x-ncnn-vulkan-git"
"warsow","warsow"
"waylandpp","waylandpp-git"
"web-ext","nodejs-web-ext"
"wezterm","wezterm-shell-integration"
"whipper","accuraterip-checksum"
"wine-staging","wine"
"wireless-regdb","crda"
"wireplumber","pipewire-media-session"
"wireshark-cli","wireshark"
"wireshark-qt","wireshark"
"wireshark-qt","wireshark-common"
"wireshark-qt","wireshark-gtk"
"wlroots0.17","wlroots<0.18"
"woob","weboob"
"wxwidgets-common","wxgtk-common"
"wxwidgets-gtk3","wxgtk3"
"x264","libx264"
"x264","libx264-10bit"
"x264","libx264-all"
"xapp","xapps"
"xarchiver-gtk2","xarchiver"
"xdg-desktop-portal-gnome","xdg-desktop-portal-gtk<1.10.0-2"
"xf86-input-elographics","X-ABI-XINPUT_VERSION<24"
"xf86-input-elographics","X-ABI-XINPUT_VERSION>=25"
"xf86-input-elographics","xorg-server<21.1.1"
"xf86-input-evdev","X-ABI-XINPUT_VERSION<24"
"xf86-input-evdev","X-ABI-XINPUT_VERSION>=25"
"xf86-input-evdev","xorg-server<21.1.1"
"xf86-input-libinput","X-ABI-XINPUT_VERSION<24"
"xf86-input-libinput","X-ABI-XINPUT_VERSION>=25"
"xf86-input-libinput","xorg-server<1.19.0"
"xf86-input-synaptics","synaptics"
"xf86-input-vmmouse","X-ABI-XINPUT_VERSION<24"
"xf86-input-vmmouse","X-ABI-XINPUT_VERSION>=25"
"xf86-input-vmmouse","xorg-server<21.1.1"
"xf86-input-void","X-ABI-XINPUT_VERSION<24"
"xf86-input-void","X-ABI-XINPUT_VERSION>=25"
"xf86-input-void","xorg-server<21.1.1"
"xf86-input-wacom","X-ABI-XINPUT_VERSION<24"
"xf86-input-wacom","X-ABI-XINPUT_VERSION>=25"
"xf86-input-wacom","xorg-server<21.1.1"
"xf86-video-amdgpu","X-ABI-VIDEODRV_VERSION<25"
"xf86-video-amdgpu","X-ABI-VIDEODRV_VERSION>=26"
"xf86-video-amdgpu","xorg-server<1.20.0"
"xf86-video-ati","X-ABI-VIDEODRV_VERSION<25"
"xf86-video-ati","X-ABI-VIDEODRV_VERSION>=26"
"xf86-video-ati","xorg-server<21.1.1"
"xf86-video-dummy","X-ABI-VIDEODRV_VERSION<25"
"xf86-video-dummy","X-ABI-VIDEODRV_VERSION>=26"
"xf86-video-dummy","xorg-server<21.1.1"
"xf86-video-fbdev","X-ABI-VIDEODRV_VERSION<25"
"xf86-video-fbdev","X-ABI-VIDEODRV_VERSION>=26"
"xf86-video-fbdev","xorg-server<21.1.1"
"xf86-video-intel","X-ABI-VIDEODRV_VERSION<25"
"xf86-video-intel","X-ABI-VIDEODRV_VERSION>=26"
"xf86-video-intel","xf86-video-i810"
"xf86-video-intel","xf86-video-intel-legacy"
"xf86-video-intel","xf86-video-intel-sna"
"xf86-video-intel","xf86-video-intel-uxa"
"xf86-video-intel","xorg-server<21.1.1"
"xf86-video-nouveau","X-ABI-VIDEODRV_VERSION<25"
"xf86-video-nouveau","X-ABI-VIDEODRV_VERSION>=26"
"xf86-video-nouveau","xorg-server<21.1.1"
"xf86-video-qxl","X-ABI-VIDEODRV_VERSION<25"
"xf86-video-qxl","X-ABI-VIDEODRV_VERSION>=26"
"xf86-video-qxl","xf86-video-qxl-git"
"xf86-video-sisusb","X-ABI-VIDEODRV_VERSION<25"
"xf86-video-sisusb","X-ABI-VIDEODRV_VERSION>=26"
"xf86-video-sisusb","xorg-server<21.1.1"
"xf86-video-vesa","X-ABI-VIDEODRV_VERSION<25"
"xf86-video-vesa","X-ABI-VIDEODRV_VERSION>=26"
"xf86-video-vesa","xorg-server<21.1.1"
"xf86-video-vmware","X-ABI-VIDEODRV_VERSION<25"
"xf86-video-vmware","X-ABI-VIDEODRV_VERSION>=26"
"xf86-video-vmware","xorg-server<21.1.1"
"xf86-video-voodoo","X-ABI-VIDEODRV_VERSION<25"
"xf86-video-voodoo","X-ABI-VIDEODRV_VERSION>=26"
"xf86-video-voodoo","xorg-server<21.1.1"
"xkeyboard-config","xkbdata"
"xorg-appres","xorg-res-utils"
"xorg-font-util","font-util"
"xorg-fonts-alias-75dpi","xorg-fonts-alias"
"xorg-fonts-alias-100dpi","xorg-fonts-alias"
"xorg-fonts-alias-cyrillic","xorg-fonts-alias"
"xorg-fonts-alias-misc","xorg-fonts-alias"
"xorg-fonttosfnt","fonttosfnt"
"xorg-mkfontscale","xorg-mkfontdir"
"xorg-server","glamor-egl"
"xorg-server","nvidia-utils<=331.20"
"xorg-server","xf86-video-modesetting"
"xorg-xwayland","xorg-server-xwayland"
"yabause-qt","yabause-gtk"
"yq","go-yq"
"yubico-c-client","ykclient"
"yubico-c","libyubikey"
"yubico-pam","pam_yubico"
"yubikey-personalization-gui","yubikey-personalization-tool"
"yubikey-personalization","ykpers"
"zathura-pdf-mupdf","zathura-pdf-poppler"
"zbar","python-zbar"
"zbar","zbar-gtk"
"zbar","zbar-qt"
"zeitgeist","zeitgeist-datahub"
"zim-tools","zimwriterfs"
