pkg,replaces
rdma-core,libcxgb3
rdma-core,libcxgb4
rdma-core,libibcm
rdma-core,libibmad
rdma-core,libibumad
rdma-core,libibverbs
rdma-core,libiwpm
rdma-core,libmlx4
rdma-core,libmlx5
rdma-core,libmthca
rdma-core,libnes
rdma-core,libocrdma
rdma-core,librdmacm
rdma-core,rdma
rdma-core,srptools
remmina,remmina-plugins
ropper,python-ropper
rssguard-lite,rssguard-nowebengine
ruby,ruby-abbrev
ruby,ruby-base64
ruby,ruby-benchmark
ruby,ruby-bigdecimal
ruby,ruby-cgi
ruby,ruby-csv
ruby,ruby-date
ruby,ruby-delegate
ruby,ruby-did_you_mean
ruby,ruby-digest
ruby,ruby-drb
ruby,ruby-english
ruby,ruby-etc
ruby,ruby-fcntl
ruby,ruby-fiddle
ruby,ruby-fileutils
ruby,ruby-find
ruby,ruby-forwardable
ruby,ruby-getoptlong
ruby,ruby-io-console
ruby,ruby-io-nonblock
ruby,ruby-io-wait
ruby,ruby-ipaddr
ruby,ruby-json
ruby,ruby-logger
ruby,ruby-mutex_m
ruby,ruby-net-http
ruby,ruby-open-uri
ruby,ruby-psych
ruby,ruby-reline
ruby,ruby-ruby2_keywords
ruby,ruby-set
ruby,ruby-stringio
ruby,ruby-time
ruby,ruby-tmpdir
ruby,ruby-uri
ruby-bundled-gems,ruby-bundledgems
ruby-pkg-config,ruby-pkgconfig
ruby-ronn-ng,ruby-ronn
ruby-unicorn-engine,ruby-unicorn
rucola,rucola-notes
rust,cargo
rust,cargo-tree
rust,rust-docs
rust,rustfmt
rustic,rustic-rs
rustic,rustic-bin
rustup,cargo-tree
s2n-tls,s2n
s3fs-fuse,s3fs
scantailor-advanced,scantailor
schroot,dchroot
sdl12-compat,sdl
seatd,libseat
secrets,gnome-passwordsafe
selene,selene-linter
sequoia-sq,sequoia
sile,sile-luajit
solid5,solid
sonnet5,sonnet
spice-gtk,spice-glib
spice-gtk,spice-gtk3
spike,fesvr
stack,haskell-stack
stylua,stylua-bin
suitesparse,suitesparse64
suitesparse-graphblas,suitesparse64
svgo,nodejs-svgo
syndication5,syndication
syntax-highlighting5,syntax-highlighting
syslog-ng,eventlog
systemc,systemc-cmake
tea,gitea-tea
teensy_loader_cli,teensy-loader-cli
terminus-font,terminus-font-otb
texlive-basic,texlive-core
texlive-binextra,git-latexdiff
texlive-langother,texlive-langextra
texlive-mathscience,texlive-science
texstudio,texmakerx
threadweaver5,threadweaver
tidy,tidyhtml
tinymist,tinymist-bin
tinysparql,tracker3
tinyssh,tinyssh-convert
totem,totem-plugin
totem-pl-parser,totem-plparser
treedec,tdlib
ttf-agave-nerd,nerd-fonts-agave
ttf-anonymouspro-nerd,nerd-fonts-anonymous-pro
ttf-arimo-nerd,nerd-fonts-arimo
ttf-bitstream-vera-mono-nerd,nerd-fonts-bitstream-vera-mono
ttf-cascadia-code-nerd,nerd-fonts-cascadia-code
ttf-cascadia-code-nerd,otf-cascadia-code-nerd
ttf-dejavu-nerd,nerd-fonts-dejavu-complete
ttf-doulos-sil,ttf-sil-doulos
ttf-fantasque-nerd,nerd-fonts-fantasque-sans-mono
ttf-firacode-nerd,nerd-fonts-fira-code
ttf-gentium-plus,gentium-plus-font
ttf-go-nerd,nerd-fonts-go-mono
ttf-hack-nerd,nerd-fonts-hack
ttf-ibmplex-mono-nerd,nerd-fonts-ibm-plex-mono
ttf-inconsolata-go-nerd,nerd-fonts-inconsolata-go
ttf-inconsolata-lgc-nerd,nerd-fonts-inconsolatalgc
ttf-inconsolata-nerd,nerd-fonts-inconsolata
ttf-iosevka-nerd,nerd-fonts-iosevka
ttf-jetbrains-mono-nerd,nerd-fonts-jetbrains-mono
ttf-joypixels,ttf-emojione
ttf-liberation-mono-nerd,nerd-fonts-liberation-mono
ttf-meslo-nerd,nerd-fonts-meslo
ttf-monofur-nerd,nerd-fonts-monofur
ttf-monoid-nerd,nerd-fonts-monoid
ttf-mononoki-nerd,nerd-fonts-mononoki
ttf-montserrat,montserrat-ttf
ttf-mplus-nerd,nerd-fonts-mplus
ttf-nerd-fonts-symbols,ttf-nerd-fonts-symbols-1000-em
ttf-nerd-fonts-symbols,ttf-nerd-fonts-symbols-2048-em
ttf-nerd-fonts-symbols-mono,ttf-nerd-fonts-symbols-1000-em-mono
ttf-nerd-fonts-symbols-mono,ttf-nerd-fonts-symbols-2048-em-mono
ttf-noto-nerd,nerd-fonts-noto
ttf-profont-nerd,nerd-fonts-profont
ttf-roboto-mono-nerd,nerd-fonts-roboto-mono
ttf-scheherazade-new,ttf-sil-scheherazade
ttf-sourcecodepro-nerd,nerd-fonts-source-code-pro
ttf-space-mono-nerd,nerd-fonts-source-space-mono
ttf-terminus-nerd,nerd-fonts-terminus
ttf-tinos-nerd,nerd-fonts-source-tinos
ttf-ubuntu-mono-nerd,nerd-fonts-ubuntu-mono
ttf-ubuntu-mono-nerd,ttf-ubuntumono-nerd
ttf-ubuntu-nerd,nerd-fonts-ubuntu
ttf-victor-mono-nerd,ttf-nerd-fonts-victor-mono
tupitube,tupitube.desk
twine,python-twine
typst,typst-bin
ublock-origin,chromium-ublock-origin
udp2raw,udp2raw-tunnel
ueberzug,python-ueberzug
ukui-panel,ukui-indicators
ukui-wallpapers,ubuntukylin-wallpapers
v4l-utils,libv4l
vagrant,vagrant-substrate
vala,valadoc
valgrind,valgrind-multilib
vim,vim-minimal
vim-powerline,powerline-vim
vim-ultisnips,vim-snipmate
virt-viewer,virtviewer
virtiofsd,qemu-virtiofsd
virtualbox,virtualbox-ose
virtualbox-guest-iso,virtualbox-additions
virtualbox-guest-iso,virtualbox-iso-additions
virtualbox-guest-utils,virtualbox-archlinux-additions
virtualbox-guest-utils,virtualbox-guest-additions
virtualbox-guest-utils,virtualbox-guest-dkms
virtualbox-guest-utils-nox,virtualbox-guest-dkms
virtualbox-host-dkms,virtualbox-source
virtualbox-host-dkms,virtualbox-host-source
virtualbox-host-modules-arch,virtualbox-modules
virtualbox-host-modules-arch,virtualbox-host-modules
vlc,vlc-plugin
volatility3,volatility
vpl-gpu-rt,onevpl-intel-gpu
vulkan-mesa-layers,vulkan-mesa-layer
vulkan-swrast,vulkan-mesa
vulscan,nmap-vulscan
wacomtablet,kcm-wacomtablet
wasm-bindgen,wasm-bindgen-cli
web-ext,nodejs-web-ext
wezterm,wezterm-shell-integration
widelands,widelands-data
wine-gecko,wine_gecko
wireshark-qt,wireshark
wireshark-qt,wireshark-gtk
wireshark-qt,wireshark-common
woob,weboob
wxwidgets-common,wxgtk-common
wxwidgets-gtk3,wxgtk3
x264,libx264
x264,libx264-10bit
x264,libx264-all
xapp,xapps
xdg-desktop-portal-gnome,xdg-desktop-portal-gtk
xf86-input-synaptics,synaptics
xf86-video-intel,xf86-video-intel-uxa
xf86-video-intel,xf86-video-intel-sna
xh,ht-rs
xh,ht
xkeyboard-config,xkbdata
xorg-font-util,font-util
xorg-fonttosfnt,fonttosfnt
xorg-mkfontscale,xorg-mkfontdir
xorg-server,glamor-egl
xorg-server,xf86-video-modesetting
xorg-xwayland,xorg-server-xwayland
xournalpp,xournal
yubikey-manager-qt,yubikey-neo-manager
zbar,zbar-gtk
zbar,zbar-qt
zbar,python-zbar
zed,zed-editor
zeitgeist,zeitgeist-datahub
zim-tools,zimwriterfs
lib32-at-spi2-core,lib32-at-spi2-atk
lib32-at-spi2-core,lib32-atk
lib32-dbus,lib32-libdbus
lib32-libcanberra,lib32-libcanberra-pulse
lib32-libgcrypt15,lib32-libgcrypt11
lib32-libltdl,lib32-libtool
lib32-libpulse,lib32-pulseaudio
lib32-mangohud,lib32-mangoapp
lib32-mesa,lib32-libva-mesa-driver
lib32-mesa,lib32-mesa-libgl
lib32-mesa,lib32-mesa-vdpau
lib32-nvidia-utils,lib32-nvidia-libgl
lib32-ocl-icd,lib32-libcl
lib32-opencl-clover-mesa,lib32-opencl-mesa
lib32-opencl-rusticl-mesa,lib32-opencl-mesa
lib32-renderdoc,lib32-renderdoc-minimal
lib32-sdl12-compat,lib32-sdl
lib32-v4l-utils,lib32-libv4l
lib32-vulkan-mesa-layers,lib32-vulkan-mesa-layer
lib32-vulkan-swrast,lib32-vulkan-mesa
steam-native-runtime,steam-libs
pkg,replaces
acl,xfsacl
attr,xfsattr
binutils,binutils-multilib
btrfs-progs,btrfs-progs-unstable
ca-certificates,ca-certificates-cacert
ca-certificates-utils,ca-certificates-java
dbus,libdbus
gcc,gcc-multilib
gcc-ada,gcc-ada-multilib
gcc-d,gdc
gcc-fortran,gcc-fortran-multilib
gcc-go,gcc-go-multilib
gcc-libs,gcc-libs-multilib
gcc-libs,libgphobos
gcc-objc,gcc-objc-multilib
grub,grub-common
grub,grub-bios
grub,grub-emu
grub,grub-efi-x86_64
hwdata,hwids
iputils,netkit-base
kbd,vlock
libisl,isl
libtool,libltdl
libtool,libtool-multilib
libverto,libverto-libevent
linux,virtualbox-guest-modules-arch
linux,wireguard-arch
linux-lts,wireguard-lts
man-db,man
mdadm,raidtools
ncurses,alacritty-terminfo
ncurses,rio-terminfo
ncurses,wezterm-terminfo
openssl,openssl-perl
openssl,openssl-doc
pkgconf,pkg-config
procps-ng,procps
procps-ng,sysvinit-tools
python,python3
python,python-externally-managed
rpcbind,portmap
s-nail,mailx
s-nail,mailx-heirloom
s-nail,heirloom-mailx
sqlite,sqlite3
sqlite-doc,sqlite3-doc
sqlite-tcl,sqlite3-tcl
systemd,nss-myhostname
systemd,systemd-tools
systemd,udev
systemd-libs,libsystemd
util-linux,rfkill
util-linux,hardlink
util-linux-libs,libutil-linux
wireless-regdb,crda
389-ds-base,python-lib389
abiword,abiword-plugins
acpica,iasl
acpid,acpid2
adobe-source-sans-fonts,adobe-source-sans-pro-fonts
adobe-source-serif-fonts,adobe-source-serif-pro-fonts
afl++,afl
afl++,aflplusplus
aircrack-ng,aircrack-ng-scripts
analitza,analitza5
ansible-core,ansible-base
ant,apache-ant
ant-doc,apache-ant-doc
apache,mod_proxy_uwsgi
appstream-glib,appdata-tools
appstream-qt5,appstream-qt
apptainer,singularity-container
arc-gtk-theme,gtk-theme-arc
arc-solid-gtk-theme,gtk-theme-arc-solid
argocd,argocd-cli
argtable,argtable-docs
aspell-pt,aspell-pt_br
at-spi2-core,at-spi2-atk
at-spi2-core,atk
atril,atril-gtk3
attica5,attica
authoscope,badtouch
avidemux-qt,avidemux-gtk
babel-cli,nodejs-babel-cli
baloo,baloo5
bats,bash-bats
bats-assert,bash-bats-assert
bats-support,bash-bats-support
bc,bc-readline
beanshell,beanshell2
bind,bind-tools
bind,dnsutils
bind,host
bird,bird6
bitcoin-daemon,bitcoin-cli
blas-openblas,openblas-lapack
bluez-qt5,bluez-qt
bluez-utils,bluez-plugins
bogofilter-db,bogofilter
borg,borgbackup
breeze5,breeze
breezy,bzr
btrfs-heatmap,python-btrfs-heatmap
byacc,byacc-noconflict
cairo-dock-plug-ins,cairo-dock-plugins
caja,caja-gtk3
caja-image-converter,caja-image-converter-gtk3
caja-open-terminal,caja-open-terminal-gtk3
caja-sendto,caja-sendto-gtk3
caja-share,caja-share-gtk3
caja-wallpaper,caja-wallpaper-gtk3
calibre,calibre-common
calibre,calibre-python3
cardinal-standalone,cardinal-jack
cargo-pgrx,cargo-pgx
cdrtools,cdrkit
celluloid,gnome-mpv
certbot,letsencrypt
certbot-apache,letsencrypt-apache
charm,charm-tool
clang,clang-analyzer
clang,clang-tools-extra
cockpit,cockpit-pcp
coffeescript,coffee-script
colord,shared-color-profiles
coq,coq-nox
cotp,cotp-bin
cotp-converters,cotp-bin
cpupower,cpufrequtils
cuda,cuda-toolkit
cuda,cuda-sdk
cuda,cuda-static
cyrus-sasl-gssapi,cyrus-sasl-plugins
cyrus-sasl-ldap,cyrus-sasl-plugins
cyrus-sasl-sql,cyrus-sasl-plugins
cython,cython-dev
dbeaver,dbeaver-plugin-sshj-lib
deepin-account-faces,dde-account-faces
deepin-anything-arch,deepin-anything-module
deepin-control-center,dde-control-center
deepin-control-center,dde-dock-applets
deepin-daemon,dde-daemon
deepin-desktop-schemas,deepin-artwork-themes
deepin-file-manager,deepin-desktop
deepin-icon-theme,deepin-cursor-theme
deepin-launchpad,deepin-launcher
deepin-shell,deepin-dock
deepin-terminal-gtk,deepin-terminal-old
deepin-voice-note,deepin-voice-recorder
deluge-gtk,deluge
devtools,devtools-git-poc
diesel-cli,diesel_cli
dleyna,dleyna-connector-dbus
dleyna,dleyna-core
dleyna,dleyna-renderer
dleyna,dleyna-server
docbook5-xml,docbook5-schemas
dog,dog-dns
dool,dstat
doublecmd-qt5,doublecmd-qt
doublecmd-qt5,doublecmd-qt4
dragonfly-reverb-standalone,dragonfly-reverb-jack
dtkwidget,deepin-tool-kit
dysk,lfs
easyeffects,pulseeffects
ecm-tools,ecm
edk2-aarch64,edk2-armvirt
edk2-ovmf,ovmf
efl,elementary
efl,evas_generic_loaders
efl,emotion_generic_players
element-desktop,riot-desktop
element-web,riot-web
element-web,vector-web
endeavour,gnome-todo
engrampa,engrampa-gtk3
enter-tex,gnome-latex
eom,eom-gtk3
erlang-cl,cl
esbonio,python-esbonio
eslint-language-server,vscode-eslint-language-server
espeak-ng,espeak-ng-espeak
espflash,cargo-espflash
exfat-utils,fuse-exfat
eza,exa
facter,libwhereami
facter,cpp-hocon
facter,leatherman
farstream,farsight2
fcitx,fcitx-gtk2
fcitx,fcitx-gtk3
fcitx-mozc,mozc-fcitx
fcitx5-configtool,kcm-fcitx5
fcitx5-mozc,mozc-fcitx
fcitx5-nord,fcitx5-nord-dark
feeluown,feeluown-local
festival-english,festival-kallpc16k
festival-english,festival-rablpc16k
festival-us,festival-awb-arctic
fig2dev,transfig
firefox-extension-passff,firefox-passff
flatpak-builder,flatpak
flint,antic
flint,arb
fluxcd,fluxctl
fontconfig,fontconfig-docs
foomatic-db,foomatic-db-foo2zjs
frameworkintegration5,frameworkintegration
freepats-general-midi,timidity-freepats
fuse2,fuse
futuresql,futuresql-qt6
gambas3-dev-tools,gambas3-devel
gambas3-gb-poppler,gambas3-gb-pdf
gambas3-ide,gambas3-examples
gap,gap-doc
gcolor3,gcolor3-xorg
gcompris-qt,gcompris
gcompris-qt,gcompris-data
gearmand,gearman
geoclue,geoclue2
geoipupdate,geoip2-database
ghc,haskell-haddock
ghc,haskell-hp2ps
ghc,haskell-hpc-bin
ghc,haskell-hsc2hs
ghc,haskell-ghc
ghc-libs,haskell-array
ghc-libs,haskell-base
ghc-libs,haskell-binary
ghc-libs,haskell-bytestring
ghc-libs,haskell-cabal
ghc-libs,haskell-containers
ghc-libs,haskell-deepseq
ghc-libs,haskell-directory
ghc-libs,haskell-exceptions
ghc-libs,haskell-filepath
ghc-libs,haskell-ghc-bignum
ghc-libs,haskell-ghc-boot
ghc-libs,haskell-ghc-boot-th
ghc-libs,haskell-ghc-compact
ghc-libs,haskell-ghc-heap
ghc-libs,haskell-ghci
ghc-libs,haskell-ghc-prim
ghc-libs,haskell-haskeline
ghc-libs,haskell-hpc
ghc-libs,haskell-integer-gmp
ghc-libs,haskell-libiserv
ghc-libs,haskell-mtl
ghc-libs,haskell-parsec
ghc-libs,haskell-pretty
ghc-libs,haskell-process
ghc-libs,haskell-stm
ghc-libs,haskell-template-haskell
ghc-libs,haskell-terminfo
ghc-libs,haskell-text
ghc-libs,haskell-time
ghc-libs,haskell-transformers
ghc-libs,haskell-unix
ghc-libs,haskell-xhtml
ghc-libs,haskell-ghc-pkg
gimp-nufraw,gimp-ufraw
girara,girara-gtk3
girara,girara-common
gitlab,gitlab-workhorse
gitlab-runner,gitlab-ci-multi-runner
gitleaks,gitleaks-bin
glab,gitlab-glab
glfw,glfw-x11
glfw,glfw-wayland
glfw,glfw-doc
glide,glide-player
gnome-builder,gnome-builder-clang
gnome-builder,gnome-builder-flatpak
gnome-notes,bijiben
gnome-themes-extra,gnome-themes-standard
gnu-efi,gnu-efi-libs
gnu-free-fonts,ttf-freefont
gnu-netcat,netcat
gnuradio-iqbal,gr-iqbal
gnuradio-osmosdr,gr-osmosdr
go,go-pie
go-ethereum,geth
gpicview,gpicview-gtk3
gptfdisk,gdisk
grub-theme-vimix,vimix-grub
gtest,gmock
gtk-engines,lighthouse-gtk2
gtk3,gtk3-print-backends
guitarix,guitarix2
gutenprint,gimp-print
gvfs,gvfs-afp
gvfs,gvfs-obexftp
handlr-regex,handlr
haskell-cairo,gtk2hs-cairo
haskell-glib,gtk2hs-glib
haskell-gtk2hs-buildtools,gtk2hs-buildtools
haskell-gtk3,gtk2hs-gtk
haskell-gtk3,haskell-gtk
haskell-pango,gtk2hs-pango
haskell-tidal,tidalcycles
hdf5,hdf5-java
hdf5-openmpi,hdf5-openmpi-java
hip-runtime-amd,hip
hledger-web,hledger-api
hlint,haskell-hlint
httpie,python-httpie
httpie,python2-httpie
hunspell-en_au,hunspell-en_AU
hunspell-en_ca,hunspell-en_CA
hunspell-en_gb,hunspell-en_GB
hunspell-en_us,hunspell-en_US
hunspell-es_any,hunspell-es
i3-wm,i3
i3-wm,i3bar
i3-wm,i3-gaps
iaito,r2cutter
ijq,ijq-bin
imagemagick,imagemagick-doc
inadyn,inadyn-fork
intel-gmmlib,gmmlib
intel-graphics-compiler,intel-opencl-clang
intel-oneapi-mkl,intel-mkl
intel-oneapi-mkl,intel-mkl-static
intel-ucode,microcode_ctl
iptraf-ng,iptraf
irssi,irssi-otr
jami-qt,jami-gnome
jami-qt,jami-libclient
java-rxtx,rxtx
jdk8-openjdk,jdk8-openjdk-wm
jenkins,jenkins-ci
jre8-openjdk,jre8-openjdk-wm
jre8-openjdk-headless,jre8-openjdk-headless-wm
jujutsu,jujutsu-bin
jumpy,fishfight
jupyter-collaboration,jupyter-server-ydoc
jupyter-console,jupyter_console
jupyter-notebook,jupyter-retrolab
jupyterlab-pygments,jupyterlab_pygments
jupyterlab-widgets,jupyter-widgetsnbextension
kactivities-stats5,kactivities-stats
kactivities5,kactivities
kakoune-lsp,kak-lsp
kamene,scapy3k
karchive5,karchive
kate,kwrite
kauth5,kauth
kbookmarks5,kbookmarks
kcalendarcore5,kcalendarcore
kcmutils5,kcmutils
kcodecs5,kcodecs
kcolorpicker,kcolorpicker-qt6
kcompletion5,kcompletion
kconfig5,kconfig
kconfigwidgets5,kconfigwidgets
kcontacts5,kcontacts
kcoreaddons5,kcoreaddons
kcrash5,kcrash
kdbusaddons5,kdbusaddons
kde-accessibility-meta,kdeaccessibility-meta
kde-education-meta,kdeedu-meta
kde-games-meta,kdegames-meta
kde-graphics-meta,kdegraphics-meta
kde-graphics-meta,kdewebdev-meta
kde-multimedia-meta,kdemultimedia-meta
kde-network-meta,kdenetwork-meta
kde-pim-meta,kdepim-meta
kde-sdk-meta,kdesdk-meta
kde-system-meta,kdeadmin-meta
kde-system-meta,kdebase-meta
kde-utilities-meta,kdeutils-meta
kdeclarative5,kdeclarative
kded5,kded
kdesdk-kio,kdesdk-kioslaves
kdesu5,kdesu
kdiagram5,kdiagram
kdnssd5,kdnssd
kdoctools5,kdoctools
kdsoap-qt5,kdsoap
kea-docs,kea-devel-docs
kernel-hardening-checker,kconfig-hardened-check
kgamma,kgamma5
kglobalaccel5,kglobalaccel
kguiaddons5,kguiaddons
kholidays5,kholidays
ki18n5,ki18n
kiconthemes5,kiconthemes
kidletime5,kidletime
kimageannotator,kimageannotator-qt6
kimageformats5,kimageformats
kio-zeroconf,zeroconf-ioslave
kio5,kio
kirigami-addons5,kirigami-addons
kitemmodels5,kitemmodels
kitemviews5,kitemviews
kjobwidgets5,kjobwidgets
knewstuff5,knewstuff
knotifications5,knotifications
knotifyconfig5,knotifyconfig
kodi,kodi-common
kodi,kodi-x11
kodi,kodi-wayland
kodi,kodi-gbm
kodi-gles,kodi-common
kodi-gles,kodi-x11
kodi-gles,kodi-wayland
kodi-gles,kodi-gbm
kpackage5,kpackage
kparts5,kparts
kplotting5,kplotting
kpty5,kpty
kquickimageeditor5,kquickimageeditor
kservice5,kservice
ktextaddons5,ktextaddons
ktexteditor5,ktexteditor
ktextwidgets5,ktextwidgets
kubo,go-ipfs
kunitconversion5,kunitconversion
kuserfeedback,kuserfeedback5
kwallet5,kwallet
kwallet5,kwallet-secrets
kwayland5,kwayland
kwidgetsaddons5,kwidgetsaddons
kwindowsystem5,kwindowsystem
kxmlgui5,kxmlgui
lazarus-qt5,lazarus-qt
lazarus-qt5,lazarus-qt4
lib32-rust-libs,lib32-rust
lib3mf,lib3mf-1
libblockdev,libblockdev-utils
libblockdev-fs,libblockdev-tools
libblockdev-lvm,libblockdev-lvm-dbus
libblockdev-lvm,libblockdev-tools
libcamera-tools,libcamera-tests
libcanberra,libcanberra-pulse
libdrm,libdrm-new
libdrm,libdrm-nouveau
libfm-gtk2,lxshortcut
libgcrypt15,libgcrypt11
libgedit-amtk,amtk
libgedit-tepl,tepl
libkiwix,kiwix-lib
libmatekbd,libmatekbd-gtk3
libmateweather,libmateweather-gtk3
libmemcached-awesome,libmemcached
libnvidia-container,libnvidia-container-tools
libpaper,paper
libphobos,libphobos-devel
libplasma,plasma-framework
libqaccessibilityclient-qt5,libqaccessibilityclient
libre,re
libre,librem
librecad,librecad-svn
librecad,caduntu
librecad,caduntu-svn
libreoffice-fresh-bn-in,libreoffice-fresh-bn-IN
libreoffice-fresh-en-gb,libreoffice-fresh-en-GB
libreoffice-fresh-en-za,libreoffice-fresh-en-ZA
libreoffice-fresh-kmr-latn,libreoffice-fresh-kmr-Latn
libreoffice-fresh-pa-in,libreoffice-fresh-pa-IN
libreoffice-fresh-pt-br,libreoffice-fresh-pt-BR
libreoffice-fresh-sa-in,libreoffice-fresh-sa-IN
libreoffice-fresh-sr-latn,libreoffice-fresh-sr-Latn
libreoffice-fresh-sw-tz,libreoffice-fresh-sw-TZ
libreoffice-fresh-zh-cn,libreoffice-fresh-zh-CN
libreoffice-fresh-zh-tw,libreoffice-fresh-zh-TW
libreoffice-still-bn-in,libreoffice-still-bn-IN
libreoffice-still-en-gb,libreoffice-still-en-GB
libreoffice-still-en-za,libreoffice-still-en-ZA
libreoffice-still-kmr-latn,libreoffice-still-kmr-Latn
libreoffice-still-pa-in,libreoffice-still-pa-IN
libreoffice-still-pt-br,libreoffice-still-pt-BR
libreoffice-still-sa-in,libreoffice-still-sa-IN
libreoffice-still-sr-latn,libreoffice-still-sr-Latn
libreoffice-still-sw-tz,libreoffice-still-sw-TZ
libreoffice-still-zh-cn,libreoffice-still-zh-CN
libreoffice-still-zh-tw,libreoffice-still-zh-TW
libretro-mupen64plus-next,libretro-mupen64plus
libretro-retrodream,libretro-redream
librime-data,brise
libsigc++,libsigc++2.0
libsigc++-docs,libsigc++2.0-docs
libunibreak,liblinebreak
libva-intel-driver,libva-driver-intel
libvpl,onevpl
libwslay,wslay
libxml++2.6,libxml++2
libxmlrpc,xmlrpc-c
linuxconsole,joystick
linuxconsole,inputattach
lirc,lirc-utils
lite-xl,lite-xl-bin
localsearch,tracker3-miners
lrcalc,lrcalc1
lua-luarepl,lua-repl
lua-luautf8,lua-utf8
lua-std-debug,lua-std-_debug
lua51-expat,luaexpat
lua51-luarepl,lua51-repl
lua51-luautf8,lua51-utf8
lua51-sec,luasec
lua51-socket,luasocket
lua51-std-debug,lua51-std-_debug
lua52-luarepl,lua52-repl
lua52-luautf8,lua52-utf8
lua52-std-debug,lua52-std-_debug
lua53-luarepl,lua53-repl
lua53-luautf8,lua53-utf8
lua53-sdl2,lua-sdl2
lua53-std-debug,lua53-std-_debug
luanti,minetest
luanti-common,minetest-common
luanti-server,minetest-server
luarocks,luarocks5.1
luarocks,luarocks5.2
luit,xorg-luit
lxmusic,lxmusic-gtk3
lxqt-themes,lxqt-common
lxsession,lxpolkit
lxterminal,lxterminal-gtk3
lychee,lychee-link-checker
lychee,lychee-rs
magma-cuda,magma
magma-hip,hipmagma
